BAMid,Approach Vertical,Vertical Jump,3/4 Court sprint  ,4-Way agility,Reaction Shuttle,BAMScore,Wingspan,Reach,Height,Weight,Body Comp,Hand Width,approach_vertical_rank,vertical_jump_rank,reaction_shuttle_rank,bam_score_rank,wingspan_rank,reach_rank,height_rank,weight_rank,body_comp_rank,hand_width_rank,fourway_rank,courtsprint_rank
1191,37.0,31.5,2.996,12.397,3.734,2003.0,71.5,88.5,69.0,159.4,15.7,7.5,5,5,4,4,2,2,2,3,4,1,4,2
913,29.5,23.5,3.349,11.949,3.019,1974.0,74.0,95.5,72.0,149.0,15.5,9.0,3,3,2,4,3,3,3,2,4,4,3,3
743,39.0,28.0,3.558,11.142,3.142,2068.0,77.5,99.5,74.75,154.7,4.0,9.0,5,4,2,5,3,4,3,3,2,4,2,4
755,30.5,23.5,3.403,11.839,3.607,1880.0,75.5,95.0,71.75,157.6,13.3,8.5,3,3,4,3,3,3,3,3,3,3,3,3
543,36.5,28.0,3.034,11.03,3.34,2135.0,78.5,97.5,73.5,155.6,10.3,8.25,5,4,3,5,4,3,3,3,3,3,2,2
835,34.0,26.5,3.274,12.292,3.261,1989.0,76.0,96.0,71.5,175.0,22.1,10.0,4,4,3,4,3,3,3,3,5,5,4,3
390,40.0,34.5,3.082,13.8509999999999,3.138,2038.0,74.0,93.0,71.5,158.1,12.8,8.25,5,5,2,5,3,3,3,3,3,3,5,2
1026,30.5,27.0,3.732,11.499,3.53,1877.0,79.0,100.0,76.5,160.0,13.5,9.0,3,4,4,3,4,4,4,3,3,4,2,4
438,31.5,24.5,3.513,12.759,3.789,1776.0,74.5,96.5,73.5,176.8,7.7,8.5,3,3,5,3,3,3,3,3,2,3,4,4
1298,31.5,26.5,3.378,11.935,3.401,1950.0,80.0,100.0,75.0,188.5,22.3,8.5,3,4,3,4,4,4,3,4,5,3,3,3
555,34.5,27.0,3.626,12.327,3.489,1935.0,81.0,100.5,76.0,196.0,21.1,9.25,4,4,3,4,4,4,4,4,5,4,4,4
1077,35.0,29.5,3.403,12.3909999999999,3.431,1964.0,79.0,96.5,74.0,166.8,17.5,8.5,4,5,3,4,4,3,3,3,4,3,4,3
1450,35.5,28.0,3.217,12.293,3.51,1979.0,75.0,95.5,71.0,183.0,21.9,9.25,5,4,4,4,3,3,3,4,5,4,4,3
546,32.5,26.5,3.386,11.5629999999999,3.407,1977.0,74.5,94.5,73.5,174.2,7.0,8.5,4,4,3,4,3,3,3,3,2,3,2,3
1146,33.5,28.5,,,,2150.0,,,,,,,4,4,1,5,1,1,1,1,1,1,1,1
780,32.0,25.0,3.419,11.878,3.346,1947.0,76.0,94.0,71.5,141.6,13.6,9.0,4,3,3,4,3,3,3,2,3,4,3,3
629,30.0,23.5,3.728,12.8809999999999,3.356,1795.0,76.5,101.0,77.75,155.4,6.9,8.0,3,3,3,3,3,4,4,3,2,2,4,4
1058,33.5,28.5,3.179,12.982,3.833,1862.0,74.0,91.0,69.0,161.0,15.4,8.0,4,4,5,3,3,2,2,3,4,2,5,3
1385,33.5,27.5,3.382,12.342,3.67199999999999,1897.0,80.0,101.0,74.5,190.4,11.1,8.75,4,4,4,4,4,4,3,4,3,3,4,3
1080,26.0,20.5,3.839,13.48,4.005,1515.0,79.75,103.5,78.0,211.0,23.1,8.0,2,2,5,1,4,4,4,5,5,2,5,5
754,33.5,30.5,3.624,13.289,3.696,1805.0,88.5,111.0,82.0,252.0,29.6,10.75,4,5,4,3,5,5,5,5,5,5,5,4
455,31.5,23.5,3.679,12.617,3.804,1741.0,79.0,103.0,78.0,190.3,5.5,9.5,3,3,5,2,4,4,4,4,2,4,4,4
867,33.0,28.5,3.235,12.708,4.178,1786.0,75.0,95.0,72.5,191.0,13.6,9.25,4,4,5,3,3,3,3,4,3,4,4,3
1013,34.5,29.0,3.217,11.7209999999999,3.282,2052.0,79.5,99.5,76.0,206.7,21.5,8.75,4,5,3,5,4,4,4,4,5,3,3,3
1302,27.5,21.0,3.499,12.6759999999999,3.51,1773.0,80.0,102.0,77.0,216.0,24.2,9.5,2,2,4,3,4,4,4,5,5,4,4,4
334,30.5,24.0,3.424,12.669,4.394,1684.0,83.75,106.0,78.25,217.8,13.2,8.5,3,3,5,2,5,5,4,5,3,3,4,3
885,35.5,23.0,3.382,10.7209999999999,3.381,2035.0,76.75,98.5,74.0,159.8,6.3,8.25,5,3,3,5,3,3,3,3,2,3,1,3
449,30.0,24.5,3.462,12.865,3.566,1815.0,76.0,97.0,75.0,165.0,15.6,9.0,3,3,4,3,3,3,3,3,4,4,4,3
408,27.0,22.5,3.529,13.904,4.045,1565.0,81.0,108.0,82.0,205.0,10.0,10.0,2,2,5,1,4,5,5,4,3,5,5,4
1499,32.5,27.5,3.287,11.042,3.31,2051.0,70.5,92.0,70.5,143.0,13.0,8.0,4,4,3,5,2,2,3,2,3,2,2,3
862,,,3.177,12.409,3.347,1898.0,81.0,102.0,78.0,174.8,14.0,9.25,1,1,3,4,4,4,4,3,3,4,4,3
1315,33.5,29.5,3.575,12.898,3.818,1805.0,86.0,105.5,79.0,193.3,22.7,9.5,4,5,5,3,5,5,4,4,5,4,4,4
288,26.0,22.5,3.667,12.03,3.634,1760.0,78.0,98.5,76.5,244.5,29.1,9.0,2,2,4,3,3,3,4,5,5,4,3,4
1109,34.5,28.5,3.279,11.979,3.497,1986.0,78.0,100.5,74.0,178.0,8.3,10.25,4,4,3,4,3,4,3,3,2,5,3,3
1456,30.5,26.5,3.588,11.767,3.724,1932.0,76.75,96.0,74.5,184.4,22.0,9.0,3,4,4,4,3,3,3,4,5,4,3,4
1175,30.5,25.5,3.344,11.452,3.534,1941.0,76.0,100.5,76.5,185.0,17.3,8.75,3,3,4,4,3,4,4,4,4,3,2,3
671,43.5,31.5,3.521,11.493,3.518,2034.0,71.0,92.5,71.25,138.3,4.0,8.25,5,5,4,5,2,2,3,2,2,3,2,4
795,27.5,23.5,3.494,11.474,3.431,1890.0,69.0,88.0,67.0,167.0,22.9,8.25,2,3,3,3,2,2,2,3,5,3,2,4
601,28.5,22.5,3.388,12.4729999999999,3.397,1857.0,79.0,101.5,76.5,197.0,7.7,8.5,3,2,3,3,4,4,4,4,2,3,4,3
748,27.0,23.0,3.682,13.237,3.45,1735.0,72.25,93.0,70.5,131.0,8.5,8.0,2,3,3,2,2,3,3,2,2,2,5,4
1150,32.0,25.0,3.425,11.417,3.513,1944.0,71.0,90.0,68.0,10.3,10.3,8.25,4,3,4,4,2,2,2,1,3,3,2,3
1184,25.0,22.5,3.461,12.417,3.966,1687.0,86.0,109.0,82.5,285.0,30.9,9.0,2,2,5,2,5,5,5,5,5,4,4,3
514,34.0,28.0,3.386,11.911,3.28899999999999,2000.0,,,,,,,4,4,3,4,1,1,1,1,1,1,3,3
1140,32.0,27.5,3.316,11.487,3.47399999999999,1986.0,77.5,96.5,73.5,178.8,20.9,9.25,4,4,3,4,3,3,3,3,5,4,2,3
1424,33.5,25.5,3.382,12.245,3.443,1926.0,79.0,101.5,75.5,181.0,6.4,10.25,4,3,3,4,4,4,4,4,2,5,3,3
1071,33.5,25.5,3.428,12.7679999999999,3.916,1786.0,85.25,108.0,80.25,184.2,15.25,8.5,4,3,5,3,5,5,4,4,4,3,4,3
819,28.5,25.0,3.802,12.3,3.399,1806.0,84.5,108.5,82.25,239.2,15.2,10.0,3,3,3,3,5,5,5,5,4,5,4,4
1035,29.5,24.0,3.388,12.25,3.666,1842.0,76.5,98.5,73.25,150.6,6.1,8.5,3,3,4,3,3,3,3,2,2,3,4,3
796,28.5,24.0,3.376,12.618,3.51,1847.0,80.5,102.5,75.5,178.4,6.2,9.0,3,3,4,3,4,4,4,3,2,4,4,3
1407,31.5,25.5,3.585,11.979,3.626,1918.0,77.5,98.5,74.5,204.5,23.7,8.5,3,3,4,4,3,3,3,4,5,3,3,4
664,30.5,25.5,3.124,12.758,3.359,1941.0,78.5,96.5,73.5,186.25,11.8,9.25,3,3,3,4,4,3,3,4,3,4,4,2
860,27.0,22.5,3.817,13.607,3.454,1653.0,81.5,104.5,78.0,266.0,18.8,10.5,2,2,3,2,4,4,4,5,4,5,5,5
519,33.0,25.0,3.581,12.045,3.503,1885.0,79.0,100.5,76.5,191.5,16.5,8.5,4,3,3,3,4,4,4,4,4,3,3,4
295,36.5,30.5,3.319,12.244,4.218,1830.0,81.0,101.0,77.5,170.6,15.6,8.5,5,5,5,3,4,4,4,3,4,3,3,3
385,34.0,26.5,3.587,12.684,3.55,1858.0,82.0,104.0,77.0,183.4,6.8,9.25,4,4,4,3,4,4,4,4,2,4,4,4
1233,24.0,20.0,3.871,13.175,3.617,1586.0,82.0,107.5,80.5,217.0,12.3,10.0,1,2,4,1,4,5,5,5,3,5,5,5
762,33.5,24.5,3.431,12.268,3.603,1882.0,78.5,99.5,76.0,187.5,19.0,8.0,4,3,4,3,4,4,4,4,4,2,4,3
207,33.0,27.0,3.381,12.555,3.331,1935.0,73.0,92.5,68.5,166.0,21.7,8.5,4,4,3,4,3,2,2,3,5,3,4,3
282,27.0,21.5,3.654,12.21,3.213,1819.0,77.5,101.0,74.5,187.2,11.6,9.0,2,2,2,3,3,4,3,4,3,4,3,4
882,31.5,27.0,3.347,11.268,3.52,1975.0,72.0,92.5,69.5,170.0,12.5,8.75,3,4,4,4,2,2,2,3,3,3,2,3
537,31.0,26.0,3.19,12.03,3.302,1986.0,75.5,95.0,72.5,156.7,15.5,8.0,3,4,3,4,3,3,3,3,4,2,3,3
1047,28.5,23.5,3.647,12.025,3.489,1823.0,72.0,93.0,71.5,166.4,7.7,8.75,3,3,3,3,2,3,3,3,2,3,3,4
923,38.5,29.5,3.378,12.66,3.791,1894.0,80.75,101.0,76.25,166.6,4.0,9.0,5,5,5,4,4,4,4,3,2,4,4,3
998,31.5,28.0,3.539,11.789,3.177,1971.0,77.0,95.5,73.5,155.0,18.7,8.75,3,4,2,4,3,3,3,3,4,3,3,4
605,,31.0,3.255,12.321,3.70399999999999,1880.0,77.0,96.0,73.0,175.4,14.1,8.5,1,5,4,3,3,3,3,3,3,3,4,3
844,30.0,24.0,3.295,11.827,3.254,1960.0,72.0,92.5,71.5,150.0,11.9,8.5,3,3,3,4,2,2,3,2,3,3,3,3
841,27.5,23.0,3.424,12.397,3.413,1848.0,78.0,99.0,75.0,173.4,7.9,9.75,2,3,3,3,3,4,3,3,2,5,4,3
1057,32.0,27.5,3.533,12.627,3.521,1864.0,78.0,100.0,75.5,215.0,8.0,8.5,4,4,4,3,3,4,4,5,2,3,4,4
1094,33.0,27.5,3.405,12.407,3.007,1997.0,82.5,106.5,79.0,181.0,18.7,9.0,4,4,2,4,4,5,4,4,4,4,4,3
1290,28.0,25.5,3.331,11.25,3.062,2016.0,69.0,88.0,67.0,129.0,13.5,8.0,2,3,2,4,2,2,2,2,3,2,2,3
879,26.5,23.5,3.577,11.945,3.535,1819.0,82.0,102.0,76.5,191.6,22.3,9.25,2,3,4,3,4,4,4,4,5,4,3,4
682,32.0,25.0,3.412,11.609,3.235,1977.0,75.5,98.0,74.5,164.0,7.9,9.0,4,3,3,4,3,3,3,3,2,4,3,3
1341,24.5,21.5,3.454,11.69,3.408,1839.0,72.0,91.5,69.5,69.5,10.9,8.25,1,2,3,3,2,2,2,1,3,3,3,3
533,34.5,28.0,3.432,13.456,4.073,1728.0,77.5,98.5,74.5,189.4,9.2,8.5,4,4,5,2,3,3,3,4,3,3,5,3
942,33.0,29.0,3.403,12.299,3.389,1957.0,74.5,94.5,73.0,168.0,8.8,7.75,4,5,3,4,3,3,3,3,3,2,4,3
404,35.0,29.0,3.363,12.379,3.375,1978.0,72.5,91.0,70.0,129.9,13.1,8.0,4,5,3,4,2,2,3,2,3,2,4,3
